"iid","gender","wave","from","zipcode","zip5","census_match","income_2000","zip_median_income_2021","zip_median_income_2021_moe","zip_gini_2021","zip_gini_2021_moe","zip_population_2021","zip_population_2021_moe"
48,1,2,"Israel","62,996","62996",TRUE,,44792,18652,0.6104,0.1147,503,159
49,1,2,"Philadelphia","19,422","19422",TRUE,62635,133722,13885,0.4761,0.0261,19928,339
50,1,2,"Houston","77,026","77026",TRUE,12063,31744,4110,0.4787,0.0307,21412,1922
51,1,2,"Philadelphia","19,151","19151",TRUE,29809,49337,6649,0.4604,0.0283,31815,2167
52,1,2,"Brooklyn","11,204","11204",TRUE,26482,58850,4665,0.4517,0.0138,82140,2957
53,1,2,"Boston","8,071","08071",TRUE,,84643,3999,0.35,0.0275,9363,242
54,1,2,"New York","13,827","13827",TRUE,30147,63392,3548,0.4723,0.0557,11462,655
55,1,2,"California","91,730","91730",TRUE,39919,76750,2838,0.4114,0.0196,69787,2232
56,0,3,"Florida","33,496","33496",TRUE,41466,97855,12194,0.5865,0.0376,23144,1511
57,0,3,"New Jersey","7,045","07045",TRUE,,149659,18602,0.4428,0.0293,10133,786
58,0,3,"","",,FALSE,,,,,,,
59,0,3,"","",,FALSE,,,,,,,
60,0,3,"New Jersey","7,747","07747",TRUE,,115272,4811,0.4069,0.0199,32462,1296
61,0,3,"Tuscaloosa, Alabama","35,404","35404",TRUE,23988,42387,2779,0.5003,0.0408,23644,1763
62,0,3,"Albuquerque, NM","87,004","87004",TRUE,28989,54483,5664,0.4285,0.0281,11778,493
63,0,3,"Palo Alto, California","94,306","94306",TRUE,50948,185588,17536,0.4745,0.0216,28394,1304
64,0,3,"New York","11,375","11375",TRUE,38022,96321,5116,0.4808,0.0339,76091,2808
65,0,3,"Boston, MA","4,605","04605",TRUE,,61641,3758,0.4269,0.0212,14201,405
66,1,3,"Mexico","11,000","11000",FALSE,,,,,,,
67,1,3,"Torrance, CA","90,503","90503",TRUE,47559,105142,6638,0.4249,0.0157,44744,1852
68,1,3,"St. Louis, MO","63,034","63034",TRUE,53539,100192,4651,0.3433,0.0358,18927,1698
69,1,3,"London, UK","0",,FALSE,,,,,,,
70,1,3,"Boston, MA","53,705","53705",TRUE,32159,74034,4429,0.502,0.0181,24786,1216
71,1,3,"Minnesota","55,345","55345",TRUE,53940,120204,9804,0.4305,0.0172,21528,894
72,1,3,"Boston, MA","2,021","02021",TRUE,,118814,9344,0.4373,0.0226,24122,32
73,1,3,"Chicago","6,883","06883",TRUE,,204792,25372,0.4782,0.029,10339,59
74,1,3,"Spain","30,100","30100",FALSE,,,,,,,
75,1,3,"Philadelphia","33,511","33511",TRUE,40753,63863,2834,0.425,0.0206,59118,2743
76,0,4,"Ohio","44,118","44118",TRUE,38207,67909,4216,0.512,0.0157,40881,1414
77,0,4,"Minnesota","55,446","55446",TRUE,46166,151194,11706,0.3925,0.0227,27079,1522
78,0,4,"Ohio","43,229","43229",TRUE,30973,48601,3815,0.4081,0.0222,55435,2770
79,0,4,"India/Venezuela","8,003","08003",TRUE,,138472,7844,0.4229,0.0178,31082,1212
80,0,4,"China","411,101",,FALSE,,,,,,,
81,0,4,"Texas","76,116","76116",TRUE,28317,50459,5669,0.518,0.0275,49319,2657
82,0,4,"Washington State","98,579","98579",TRUE,26645,83718,7126,0.364,0.0411,13440,1219
83,0,4,"Panama","10,019","10019",TRUE,,105538,13099,0.5905,0.0227,43989,2525
84,0,4,"spain","28,035","28035",FALSE,,,,,,,
85,0,4,"Arizona","85,201","85201",TRUE,25589,49844,2918,0.4384,0.0291,53402,2680
86,0,4,"Minneapolis, MN","55,424","55424",TRUE,55223,206038,28837,0.472,0.029,10712,840
87,0,4,"NJ","7,746","07746",TRUE,,172765,15444,0.4285,0.0291,18437,1078
88,0,4,"NY","10,514","10514",TRUE,109031,246991,31550,0.4355,0.0304,13267,1065
89,0,4,"Israel","62,150","62150",FALSE,,,,,,,
90,0,4,"P. R. China","300,151",,FALSE,,,,,,,
91,0,4,"California","48,895","48895",TRUE,40409,100563,11438,0.4323,0.042,11470,451
92,0,4,"San Francisco","94,108","94108",TRUE,21597,65392,9547,0.567,0.036,11963,899
93,0,4,"England","0",,FALSE,,,,,,,
94,1,4,"Bangladesh","0",,FALSE,,,,,,,
95,1,4,"Long Island","11,753","11753",TRUE,76624,162043,16610,0.4798,0.0376,13361,1228
96,1,4,"Argentina","10,027","10027",TRUE,,58435,5213,0.5847,0.0193,65840,2871
97,1,4,"Brooklyn, NY","11,215","11215",TRUE,35968,156930,8212,0.4769,0.0168,73419,2838
98,1,4,"Cincinnati, Ohio","45,242","45242",TRUE,51725,106629,4809,0.4873,0.029,21992,1199
99,1,4,"New York","10,022","10022",TRUE,55419,156255,13538,0.5621,0.0245,33303,2920
100,1,4,"Israel","92,425","92425",FALSE,,,,,,,
101,1,4,"India","110,015",,FALSE,,,,,,,
102,1,4,"Canada","0",,FALSE,,,,,,,
103,1,4,"Chicago","60,089","60089",TRUE,55550,121246,4396,0.4229,0.02,42993,88
104,1,4,"Colorado","80,110","80110",TRUE,26682,73834,6823,0.4259,0.0321,23787,1013
105,1,4,"Texas","78,759","78759",TRUE,41547,90246,6431,0.4335,0.0148,44978,2188
106,1,4,"Texas","76,513","76513",TRUE,23361,71858,5934,0.4961,0.0274,42610,1517
107,1,4,"Ann Arbor, MI","48,331","48331",TRUE,74893,111471,9981,0.41,0.023,22000,1180
108,1,4,"Spain","0",,FALSE,,,,,,,
109,1,4,"Hong Kong","19,454","19454",TRUE,,101117,3247,0.4527,0.0237,27959,962
110,1,4,"Ann Arbor","48,334","48334",TRUE,52804,85992,7542,0.429,0.0244,19371,1172
111,1,4,"Philippines","1,114","01114",FALSE,,,,,,,
112,0,5,"New Jersey","7,605","07605",TRUE,,102381,12756,0.4919,0.036,9283,24
113,0,5,"Milwaukee, Wisconsin","53,217","53217",TRUE,53923,114286,4732,0.4992,0.0332,30098,771
114,0,5,"New York","",,FALSE,,,,,,,
115,0,5,"brooklyn ny","11,214","11214",TRUE,27094,58487,3055,0.4777,0.017,95361,3325
116,0,5,"France","38,330","38330",TRUE,,40345,13991,0.4722,0.0535,4064,498
117,0,5,"Long Island, NY","11,021","11021",TRUE,57213,105606,9799,0.5401,0.028,19265,847
119,0,5,"Puerto Rico","901","00901",TRUE,,27426,8612,0.6779,0.0365,8098,815
120,0,5,"Long Island, NY","11,778","11778",TRUE,42390,105764,11346,0.3747,0.0363,12092,1226
121,0,5,"Memphis, TN","38,119","38119",TRUE,43636,83083,10337,0.4415,0.0295,24027,1668
122,1,5,"Long Island","11,793","11793",TRUE,57887,156750,11382,0.3774,0.0237,31350,1567
123,1,5,"Louisiana","70,605","70605",TRUE,30768,81404,9096,0.4453,0.0245,40835,2239
124,1,5,"Maryland","20,815","20815",TRUE,66699,175053,16024,0.5276,0.0151,31235,1647
125,1,5,"Staten Island","10,306","10306",TRUE,45360,88687,4533,0.435,0.0195,55805,2691
126,1,5,"New York, NY","10,021","10021",TRUE,55080,136060,15170,0.5591,0.0215,42484,3281
127,1,5,"Massachusetts","1,720","01720",TRUE,,138220,8920,0.4516,0.0246,23107,347
128,1,5,"Connecticut","6,880","06880",TRUE,,236892,26896,0.4998,0.0243,27242,61
129,1,5,"New Jersey","7,936","07936",TRUE,,129329,14228,0.3766,0.0393,11128,31
130,1,5,"India, Holland","",,FALSE,,,,,,,
131,1,5,"New York","10,002","10002",TRUE,17378,37093,3148,0.5922,0.0185,76807,3172
132,0,6,"Los Angeles","96,822","96822",TRUE,40375,83946,3902,0.4632,0.0177,48037,1730
133,0,6,"china","519,000",,FALSE,,,,,,,
134,0,6,"Pougkeepsie NY","12,590","12590",TRUE,48929,96726,7494,0.3957,0.0175,36849,963
135,0,6,"sofia, bg","",,FALSE,,,,,,,
136,0,6,"","",,FALSE,,,,,,,
137,1,6,"New York","11,020","11020",TRUE,78193,168319,25892,0.436,0.0455,6097,898
138,1,6,"Greenwich, CT","10,803","10803",TRUE,63351,184821,19913,0.4957,0.0292,12953,43
139,1,6,"Taiwan","10,025","10025",TRUE,,103440,6815,0.5921,0.019,96918,4346
140,1,6,"Europe","10,025","10025",TRUE,,103440,6815,0.5921,0.019,96918,4346
141,1,6,"Colombia","",,FALSE,,,,,,,
142,0,7,"california","92,075","92075",TRUE,50745,111500,8848,0.4761,0.0291,12234,288
143,0,7,"Albania","10,027","10027",TRUE,,58435,5213,0.5847,0.0193,65840,2871
144,0,7,"PA","16,510","16510",TRUE,29279,59060,3232,0.421,0.0218,25483,1229
145,0,7,"Minnesota","55,379","55379",TRUE,38774,95602,4732,0.4071,0.0208,47662,427
146,0,7,"New York","19,087","19087",TRUE,58802,151113,14697,0.4624,0.0217,33717,1291
147,0,7,"New York","10,014","10014",TRUE,41831,136559,13983,0.5408,0.0234,29815,1715
148,0,7,"Cherry Hill, NJ","8,034","08034",TRUE,,100173,6638,0.4133,0.0248,19522,935
149,0,7,"Minneapolis","55,331","55331",TRUE,52186,144697,10148,0.4805,0.0268,19317,784
150,0,7,"NYC","10,021","10021",TRUE,55080,136060,15170,0.5591,0.0215,42484,3281
151,0,7,"ottawa, canada","",,FALSE,,,,,,,
152,0,7,"China","0",,FALSE,,,,,,,
153,0,7,"China","136,300",,FALSE,,,,,,,
154,0,7,"NYC","22,066","22066",TRUE,97857,247730,17499,0.4466,0.0288,16791,1073
155,0,7,"Philadelphia, PA","19,041","19041",TRUE,74624,144205,37815,0.5307,0.0384,6535,506
156,0,7,"Atlanta, GA","27,870","27870",TRUE,21590,39937,3909,0.4754,0.0265,25166,886
157,0,7,"Cleveland","44,147","44147",TRUE,38832,91181,5709,0.4256,0.0267,19820,26
158,1,7,"NYC (Staten Island)","10,301","10301",TRUE,37248,78053,5038,0.5054,0.0213,38736,2147
159,1,7,"Greece","",,FALSE,,,,,,,
160,1,7,"North Carolina","28,387","28387",TRUE,28240,65558,4436,0.496,0.0331,15158,791
161,1,7,"State College, PA","15,668","15668",TRUE,53771,109673,10231,0.4255,0.0382,14066,727
162,1,7,"Canada","",,FALSE,,,,,,,
163,1,7,"Minnesota","55,391","55391",TRUE,56096,131068,13033,0.5618,0.0276,15621,800
164,1,7,"Los Angeles","90,291","90291",TRUE,31560,105871,8771,0.5513,0.0285,25685,1210
165,1,7,"Detroit","48,070","48070",TRUE,52467,157665,11732,0.3852,0.034,6382,20
166,1,7,"Washington DC Metro Region","20,817","20817",TRUE,80006,217674,11750,0.483,0.022,38286,1573
167,1,7,"colorado","80,005","80005",TRUE,47572,122225,4806,0.3639,0.0198,28909,1144
168,1,7,"Berkeley, CA","90,031","90031",TRUE,22439,53319,4959,0.5011,0.0297,38533,1688
169,1,7,"Buffalo, NY","14,227","14227",TRUE,31383,61510,3747,0.3856,0.0182,20990,1032
170,1,7,"India","",,FALSE,,,,,,,
171,1,7,"France","75,015","75015",FALSE,,,,,,,
172,1,7,"London, England","",,FALSE,,,,,,,
173,1,7,"NJ","8,536","08536",TRUE,,115685,11357,0.4231,0.0319,20523,538
174,0,8,"Pennsylvania","19,087","19087",TRUE,58802,151113,14697,0.4624,0.0217,33717,1291
175,0,8,"Ohio","43,220","43220",TRUE,40749,71854,7325,0.5116,0.0206,29294,1459
176,0,8,"California","92,602","92602",TRUE,,123455,23815,0.4537,0.0392,27425,2487
177,0,8,"San Diego, CA","92,120","92120",TRUE,47997,103596,7889,0.443,0.0291,29172,1581
178,0,8,"New York","",,FALSE,,,,,,,
179,0,8,"California","91,011","91011",TRUE,78704,187297,17423,0.4676,0.0241,20621,51
180,0,8,"taiwan","8,820","08820",TRUE,,146149,11448,0.4029,0.019,40083,1155
181,0,8,"Brooklyn, NY","11,217","11217",TRUE,31143,133269,12241,0.5363,0.0189,42107,2046
182,0,8,"New Jersey","8,904","08904",TRUE,,85652,9597,0.4474,0.0238,14947,26
183,0,8,"Uzbekistan","703,007",,FALSE,,,,,,,
184,1,8,"Nebraska","68,005","68005",TRUE,32129,56924,3364,0.4318,0.0229,22266,1029
185,1,8,"Queens","8,854","08854",TRUE,,112980,5892,0.3799,0.0156,60467,91
186,1,8,"Kansas","66,610","66610",TRUE,44195,106691,8539,0.4267,0.0405,10886,806
187,1,8,"nyc","",,FALSE,,,,,,,
188,1,8,"Atlanta","30,092","30092",TRUE,46837,66062,2145,0.4968,0.0234,36526,1028
189,1,8,"Uruguay","11,500","11500",FALSE,,,,,,,
190,1,8,"Azerbaijan","370,138",,FALSE,,,,,,,
191,1,8,"Connecticut","6,878","06878",TRUE,,250001,,0.4653,0.0292,8387,666
192,1,8,"Los Angeles, CA","90,210","90210",TRUE,97972,154740,22287,0.6142,0.0226,19627,1220
193,1,8,"new york city","11,419","11419",TRUE,35960,84245,4981,0.4072,0.0221,50107,2236
194,0,9,"New York","11,803","11803",TRUE,65708,166829,7835,0.4331,0.0316,30067,1541
195,0,9,"Rochester, NY","14,526","14526",TRUE,49466,92273,14011,0.4071,0.0267,19931,1332
196,0,9,"Taipei, Taiwan","",,FALSE,,,,,,,
197,0,9,"Berkeley","92,064","92064",TRUE,53229,119838,9545,0.4377,0.0155,49005,89
198,0,9,"China","10,025","10025",TRUE,,103440,6815,0.5921,0.019,96918,4346
199,0,9,"New York","10,012","10012",TRUE,32649,117581,10760,0.5654,0.0309,22269,1508
200,0,9,"Northern California","95,404","95404",TRUE,35867,88574,4940,0.4796,0.0296,38028,1992
201,0,9,"New York","7,726","07726",TRUE,,135953,11714,0.441,0.0373,44954,651
202,0,9,"Silver Spring, MD","20,903","20903",TRUE,40244,74607,8288,0.4062,0.022,26728,2389
203,0,9,"Vestal","13,850","13850",TRUE,42640,70760,9014,0.5402,0.0478,22847,843
204,0,9,"Texas & Boston","77,095","77095",TRUE,52388,87960,5771,0.3701,0.0161,71138,3453
205,0,9,"England","0",,FALSE,,,,,,,
206,0,9,"Cameroon","",,FALSE,,,,,,,
207,0,9,"New Jersey","7,719","07719",TRUE,,105707,12256,0.4374,0.0199,21857,893
208,0,9,"PA","18,929","18929",TRUE,62875,154826,10092,0.3574,0.0391,9718,661
209,0,9,"New York","12,601","12601",TRUE,30855,53105,3319,0.5412,0.0718,42737,1365
210,0,9,"Atlanta","30,345","30345",TRUE,46800,96238,13405,0.4401,0.0212,24823,1494
211,0,9,"Bulgaria","0",,FALSE,,,,,,,
212,0,9,"New York City","11,364","11364",TRUE,45695,90970,7957,0.4151,0.0203,39015,2346
213,0,9,"New York Area/ New Jersey","7,410","07410",TRUE,,133209,10820,0.4113,0.0246,34820,28
214,1,9,"Philadelphia","19,046","19046",TRUE,46792,105846,8853,0.5049,0.0332,18716,1193
215,1,9,"Baltimore","21,093","21093",TRUE,53501,111016,6726,0.4648,0.0209,39817,1832
216,1,9,"San Francisco","10,021","10021",TRUE,55080,136060,15170,0.5591,0.0215,42484,3281
217,1,9,"Houston","77,024","77024",TRUE,64716,122979,15581,0.5717,0.0176,37694,1629
218,1,9,"Russia/Germany","80,798","80798",FALSE,,,,,,,
219,1,9,"Spain","8,025","08025",FALSE,,,,,,,
220,1,9,"DC","",,FALSE,,,,,,,
221,1,9,"India","100,063",,FALSE,,,,,,,
222,1,9,"Germany","",,FALSE,,,,,,,
223,1,9,"Wash DC (4 yrs)","29,501","29501",TRUE,27248,60215,5412,0.4871,0.0234,47145,1784
224,1,9,"Sweden","11,531","11531",FALSE,,,,,,,
225,1,9,"Colombia","",,FALSE,,,,,,,
226,1,9,"Pittsburgh","15,211","15211",TRUE,22805,66705,3931,0.468,0.0363,10512,747
227,1,9,"New York","11,596","11596",TRUE,56118,137917,13639,0.4483,0.0366,10431,353
228,1,9,"Germany","",,FALSE,,,,,,,
229,1,9,"New York","11,354","11354",TRUE,30146,52273,5450,0.4975,0.0257,53375,2790
230,1,9,"Detroit, Michigan, USA","48,127","48127",TRUE,39123,57164,3733,0.4677,0.0229,40424,1256
231,1,9,"Los Angeles, CA","92,024","92024",TRUE,46153,133304,6853,0.4906,0.0201,50840,1708
232,1,9,"Washington, DC","10,471","10471",TRUE,45300,96368,11817,0.5025,0.0286,23387,1699
233,1,9,"J.P. Morgan","10,017","10017",TRUE,42397,136112,8861,0.5014,0.0382,15514,1425
234,0,10,"Virginia","23,060","23060",TRUE,44346,94737,7138,0.38,0.0174,35844,2197
235,0,10,"Boston, MA","1,890","01890",TRUE,,184844,15562,0.4746,0.0212,22875,34
236,0,10,"Indiana","46,815","46815",TRUE,42225,62280,5096,0.4047,0.0267,27883,1423
237,0,10,"lOS aNGELES","91,206","91206",TRUE,37405,82664,7481,0.5023,0.029,32570,2010
238,0,10,"Wisconsin","54,449","54449",TRUE,28524,59727,4016,0.4783,0.0245,25954,470
239,0,10,"Born in Montana, raised in South Jersey (nr. Philadelphia)","8,028","08028",TRUE,,72701,6853,0.4375,0.0264,21809,673
240,0,10,"New York","10,598","10598",TRUE,61141,140337,6758,0.4059,0.0204,29195,1083
241,0,10,"New York","10,454","10454",TRUE,8607,21846,2122,0.5499,0.0258,38908,2195
242,0,10,"uruguay","12,000","12000",FALSE,,,,,,,
243,1,10,"Portland, Oregon","",,FALSE,,,,,,,
244,1,10,"Seattle","",,FALSE,,,,,,,
245,1,10,"Lexington, MA","2,173","02173",FALSE,,,,,,,
246,1,10,"brooklyn, ny","11,234","11234",TRUE,41476,86185,2465,0.4668,0.0198,94254,2631
247,1,10,"Shanghai, China","200,065",,FALSE,,,,,,,
248,1,10,"San Francisco","92,037","92037",TRUE,49841,125636,6770,0.5318,0.0139,37505,1627
249,1,10,"Chile","",,FALSE,,,,,,,
250,1,10,"Toronto, London, India","",,FALSE,,,,,,,
251,1,10,"Israel","",,FALSE,,,,,,,
252,0,11,"Mexico","11,910","11910",FALSE,,,,,,,
253,0,11,"Japan","7,024","07024",TRUE,,92456,5536,0.478,0.0251,39701,31
254,0,11,"Boulder, Colorado","80,304","80304",TRUE,37240,98985,9861,0.5399,0.0436,25332,1012
255,0,11,"Maryland","21,701","21701",TRUE,36594,90531,2423,0.3927,0.0136,40203,1574
256,0,11,"Northern Virginia","22,015","22015",TRUE,62997,145916,3782,0.3638,0.0154,45325,1485
257,0,11,"I am from NYC","10,023","10023",TRUE,46608,136109,11196,0.5669,0.0181,65891,3204
258,0,11,"Seattle","98,115","98115",TRUE,37881,128443,7967,0.4559,0.0154,53729,1544
259,0,11,"Texas","77,546","77546",TRUE,48944,111537,8386,0.4206,0.021,54405,1208
260,0,11,"Malaysia, then Massachusetts","50,450","50450",TRUE,,68407,4293,0.3611,0.0302,2968,276
261,0,11,"Katonah, NY (more recently, Boston)","10,536","10536",TRUE,77112,198919,28382,0.4393,0.0336,11124,937
262,0,11,"Warsaw, Poland","",,FALSE,,,,,,,
263,0,11,"Brooklyn, NY","11,212","11212",TRUE,18283,30733,2339,0.534,0.0179,78296,3821
264,0,11,"Washington, D.C.","20,011","20011",TRUE,31432,86614,6152,0.47,0.0151,67386,2686
265,0,11,"New York","10,538","10538",TRUE,73073,203932,39242,0.5314,0.0347,17424,590
266,0,11,"new york city","",,FALSE,,,,,,,
267,0,11,"Taiwan","",,FALSE,,,,,,,
268,0,11,"Texas","76,710","76710",TRUE,26706,45137,4073,0.4854,0.0328,23385,1749
269,0,11,"New Jersey","8,904","08904",TRUE,,85652,9597,0.4474,0.0238,14947,26
270,0,11,"Toronto","",,FALSE,,,,,,,
271,0,11,"New York","10,543","10543",TRUE,50060,119900,12739,0.5057,0.0338,21563,620
272,0,11,"New York","11,235","11235",TRUE,25401,58669,3780,0.5064,0.0118,84859,2518
273,1,11,"czech republic","",,FALSE,,,,,,,
274,1,11,"Mexico","",,FALSE,,,,,,,
275,1,11,"Siberia","630,090",,FALSE,,,,,,,
276,1,11,"New Hope, PA","18,977","18977",TRUE,80608,194477,26985,0.4078,0.0637,4595,509
277,1,11,"Connecticut","6,098","06098",TRUE,,65475,8840,0.4261,0.0432,10316,51
278,1,11,"boston, ma","0",,FALSE,,,,,,,
279,1,11,"Las Vegas, Nevada","89,014","89014",TRUE,43844,65719,3587,0.4089,0.03,41429,2660
280,1,11,"Budapest","7,620","07620",TRUE,,196875,57972,0.5252,0.0564,1336,218
281,1,11,"Russia","430,000",,FALSE,,,,,,,
282,1,11,"UNCC","",,FALSE,,,,,,,
283,1,11,"Boston","1,851","01851",TRUE,,72133,4494,0.4427,0.0284,32469,1606
284,1,11,"Iceland","0",,FALSE,,,,,,,
285,1,11,"International Student","10,025","10025",TRUE,,103440,6815,0.5921,0.019,96918,4346
286,1,11,"Russia","125,438",,FALSE,,,,,,,
287,1,11,"Nepal","6,320","06320",TRUE,,50819,6096,0.4505,0.027,27585,113
288,1,11,"Washington, DC","21,044","21044",TRUE,53196,110785,7240,0.4249,0.0261,44662,1969
289,1,11,"California","92,064","92064",TRUE,53229,119838,9545,0.4377,0.0155,49005,89
290,1,11,"Israel","",,FALSE,,,,,,,
291,1,11,"New Jersey","7,936","07936",TRUE,,129329,14228,0.3766,0.0393,11128,31
292,1,11,"New York City","10,009","10009",TRUE,25786,77551,8516,0.5649,0.0252,60000,3242
293,1,11,"Northern New Jersey","7,512","07512",TRUE,,103419,11451,0.4081,0.0415,11013,23
294,0,12,"New York City","7,304","07304",TRUE,,60787,3594,0.5027,0.0254,50444,2388
295,0,12,"Arizona","85,283","85283",TRUE,39394,65808,4219,0.4422,0.0249,46375,1677
296,0,12,"New York","11,365","11365",TRUE,40695,73279,7631,0.4332,0.0219,45439,3067
297,0,12,"Texas","77,401","77401",TRUE,45788,210577,30442,0.4825,0.0286,17362,124
298,0,12,"Buffalo, NY","14,075","14075",TRUE,37315,69876,4938,0.4228,0.0182,44452,1252
299,0,12,"Maryland","21,015","21015",TRUE,51663,129913,9152,0.3847,0.0207,30781,1756
300,0,12,"Buffalo, NY","14,043","14043",TRUE,32563,65289,4431,0.3864,0.0213,25644,1201
301,0,12,"Washington, DC","8,540","08540",TRUE,,163074,16400,0.5089,0.0263,48700,1810
302,0,12,"Long Island","11,754","11754",TRUE,54303,109208,11344,0.4238,0.0276,17884,858
303,0,12,"Brooklyn, NY","27,701","27701",TRUE,16908,51240,2860,0.5265,0.0244,23876,1941
304,0,12,"NYC-6 yrs. Grew up in Nebraska","68,124","68124",TRUE,39729,83900,8691,0.5112,0.0299,15352,857
305,0,12,"philippines","",,FALSE,,,,,,,
306,0,12,"Taiwan","",,FALSE,,,,,,,
307,0,12,"Virginia","22,003","22003",TRUE,57316,119489,8742,0.4204,0.0158,58952,2036
308,1,12,"Cambridge, Massachusetts","11,137","11137",FALSE,,,,,,,
309,1,12,"NYC","10,463","10463",TRUE,30587,63048,4556,0.5132,0.0155,73256,3166
310,1,12,"NJ","10,021","10021",TRUE,55080,136060,15170,0.5591,0.0215,42484,3281
311,1,12,"New York","11,746","11746",TRUE,57513,129432,8205,0.4518,0.0185,67873,2248
312,1,12,"NYC","10,025","10025",TRUE,33772,103440,6815,0.5921,0.019,96918,4346
313,1,12,"Boston","1,173","01173",FALSE,,,,,,,
314,1,12,"New Delhi, India","0",,FALSE,,,,,,,
315,1,12,"way too little space here. world citizen.","",,FALSE,,,,,,,
316,1,12,"Philadelphia","10,019","10019",TRUE,31857,105538,13099,0.5905,0.0227,43989,2525
317,1,12,"Italy","80,131","80131",TRUE,,78125,26926,0.3896,0.1689,265,111
318,1,12,"Ottawa, Canada","",,FALSE,,,,,,,
319,1,12,"New Jersey","7,624","07624",TRUE,,166125,26706,0.4608,0.0477,8573,42
